subject_id,tpd_pre,tpd_anti_shia_pre,tpd_post,tpd_anti_shia_post,week_pre,week_anti_shia_pre,week_post,week_anti_shia_post,two_weeks_pre,two_weeks_anti_shia_pre,two_weeks_post,two_weeks_anti_shia_post,month_pre,month_anti_shia_pre,month_post,month_anti_shia_post,treatment_date,treatment_num,treatment_text,followers_count,anti_shia_friends_count,loc_qual,gcc,yemen,iraq,syria,conflict
1,5,0,2,0,18,0,23,0,29,0,68,1,84,0,103,1,1/31/18,0,NA,88,43,Saudi,TRUE,FALSE,FALSE,FALSE,0
2,60,13,106,34,219,60,227,56,500,97,233,56,604,99,333,56,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,94,32,Yemen,FALSE,TRUE,FALSE,FALSE,1
3,3,0,0,0,4,0,1,0,4,0,1,0,10,0,NA,NA,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,102,5,Saudi,TRUE,FALSE,FALSE,FALSE,0
4,0,0,118,8,0,0,362,14,234,0,461,17,0,0,561,18,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,950,214,GCC,TRUE,FALSE,FALSE,FALSE,0
5,0,0,3,0,2,0,4,0,2,0,4,0,5,0,10,0,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,20,25,Algeria,FALSE,FALSE,FALSE,FALSE,0
6,10,0,6,0,27,1,15,0,39,1,36,0,64,1,55,0,1/31/18,0,NA,291,148,Syria,FALSE,FALSE,FALSE,TRUE,1
7,28,1,14,0,82,7,94,5,162,8,155,7,387,13,339,10,1/31/18,0,NA,3140,347,GCC,TRUE,FALSE,FALSE,FALSE,0
8,48,3,24,0,79,4,76,0,79,4,72,0,102,4,123,2,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,1052,254,Yemen,FALSE,TRUE,FALSE,FALSE,1
9,31,2,11,0,52,1,16,0,67,4,17,0,91,9,24,0,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,41,47,GCC,TRUE,FALSE,FALSE,FALSE,0
10,0,0,0,0,4,0,5,0,9,0,11,0,12,0,37,0,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,78,2,GCC,TRUE,FALSE,FALSE,FALSE,0
11,20,1,0,0,63,1,37,0,49,1,88,0,482,23,248,9,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,350,6,Saudi,TRUE,FALSE,FALSE,FALSE,0
12,8,1,3,2,31,1,63,6,105,2,108,4,134,0,NA,NA,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,267,1,NA,FALSE,FALSE,FALSE,FALSE,0
13,6,1,4,2,31,8,18,9,65,18,29,19,103,25,77,32,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,72,65,Yemen,FALSE,TRUE,FALSE,FALSE,1
14,10,0,6,0,23,1,12,0,39,1,38,0,62,1,NA,NA,1/31/18,0,NA,32,1,NA,FALSE,FALSE,FALSE,FALSE,0
15,32,1,25,0,70,1,39,0,141,3,62,0,239,7,75,0,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,791,21,GCC,TRUE,FALSE,FALSE,FALSE,0
16,4,0,2,0,7,1,5,0,9,1,6,3,13,1,9,4,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,536,40,Iraq,FALSE,FALSE,TRUE,FALSE,1
17,65,0,76,0,261,1,230,0,225,1,275,1,532,1,521,1,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,515,12,NA,FALSE,FALSE,FALSE,FALSE,0
18,16,1,27,2,20,1,66,3,20,1,145,9,203,7,279,11,1/31/18,0,NA,210,442,Saudi,TRUE,FALSE,FALSE,FALSE,0
19,12,1,0,0,20,1,20,0,23,1,49,4,38,2,NA,NA,1/31/18,0,NA,234,2,GCC,TRUE,FALSE,FALSE,FALSE,0
20,15,0,4,2,39,0,35,6,52,0,59,5,138,2,154,10,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,692,656,NA,FALSE,FALSE,FALSE,FALSE,0
21,9,1,3,0,23,1,24,0,23,1,54,0,46,1,88,0,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,245,23,Tunisia,FALSE,FALSE,FALSE,FALSE,0
22,8,1,10,0,11,1,44,0,11,1,137,0,47,4,384,0,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,130,31,Saudi,TRUE,FALSE,FALSE,FALSE,0
23,10,0,21,0,30,2,37,0,66,2,58,0,250,9,NA,NA,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,275,1,NA,FALSE,FALSE,FALSE,FALSE,0
24,3,0,5,1,38,2,26,2,42,3,39,4,91,4,51,4,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,1733,316,Saudi,TRUE,FALSE,FALSE,FALSE,0
25,21,4,8,0,78,14,34,3,106,22,62,6,164,42,138,23,1/31/18,0,NA,1449,47,Yemen,FALSE,TRUE,FALSE,FALSE,1
26,7,1,12,0,25,2,66,0,49,6,100,0,157,5,NA,NA,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,8,1,Japan,FALSE,FALSE,FALSE,FALSE,0
27,76,0,131,5,125,2,417,13,152,4,385,35,256,5,207,90,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,95,1,GCC,TRUE,FALSE,FALSE,FALSE,0
28,2,1,7,4,17,1,13,3,17,0,14,4,24,3,NA,NA,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,104,1,NA,FALSE,FALSE,FALSE,FALSE,0
29,2,1,17,0,16,0,28,0,46,4,74,0,95,0,127,0,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,806,245,Saudi,TRUE,FALSE,FALSE,FALSE,0
30,29,0,25,0,124,0,225,1,309,0,360,2,669,2,827,9,1/31/18,0,NA,1436,233,Saudi,TRUE,FALSE,FALSE,FALSE,0
31,2,0,0,0,5,0,1,0,11,0,23,0,67,0,NA,NA,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,203,2,GCC,TRUE,FALSE,FALSE,FALSE,0
32,0,0,6,1,5,2,12,1,16,3,18,3,77,14,31,4,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,254,73,Saudi,TRUE,FALSE,FALSE,FALSE,0
33,77,0,26,0,163,0,95,0,224,0,149,0,411,0,NA,NA,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,3221,328,Yemen,FALSE,TRUE,FALSE,FALSE,1
34,42,5,40,5,118,20,138,28,289,64,229,57,591,117,373,78,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,5294,376,Saudi,TRUE,FALSE,FALSE,FALSE,0
35,3,1,2,0,8,1,5,0,5,1,4,0,7,3,6,0,1/31/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,153,7,Saudi,TRUE,FALSE,FALSE,FALSE,0
36,9,0,4,2,21,0,14,4,35,0,17,3,87,15,24,20,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,1788,294,GCC,TRUE,FALSE,FALSE,FALSE,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,996,116,UAE,TRUE,FALSE,FALSE,FALSE,0
38,3,0,1,0,13,0,4,0,18,0,20,2,32,0,40,5,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,16,20,Saudi,TRUE,FALSE,FALSE,FALSE,0
39,53,2,50,1,54,2,161,6,54,2,249,8,202,2,371,11,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,50,88,Yemen,FALSE,TRUE,FALSE,FALSE,1
40,108,2,80,1,394,2,364,1,329,4,342,6,1859,10,1762,13,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2481,332,Saudi,TRUE,FALSE,FALSE,FALSE,0
41,5,0,4,0,14,0,12,0,15,0,17,0,46,0,41,0,1/31/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,41,18,GCC,TRUE,FALSE,FALSE,FALSE,0
42,21,0,11,0,33,0,14,0,37,0,22,0,55,0,34,0,1/31/18,0,NA,1554,250,Saudi,TRUE,FALSE,FALSE,FALSE,0
43,18,9,11,4,49,24,73,15,85,48,77,15,308,74,327,56,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,114,27,Saudi,TRUE,FALSE,FALSE,FALSE,0
44,0,0,5,1,0,0,25,14,0,0,22,2,0,0,79,4,1/31/18,5,هذا الكلام الطائفي يزرع الفتنة.,1799,573,Sweden,FALSE,FALSE,FALSE,FALSE,0
45,0,0,5,0,1,0,7,0,8,0,15,0,17,0,38,0,1/31/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,504,46,Saudi,TRUE,FALSE,FALSE,FALSE,0
46,39,1,24,0,117,4,86,1,159,4,187,2,359,11,352,6,1/31/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,321,165,Yemen,FALSE,TRUE,FALSE,FALSE,1
47,15,3,21,1,51,4,35,1,80,5,60,1,130,8,88,1,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,83,196,Saudi,TRUE,FALSE,FALSE,FALSE,0
48,19,0,17,0,48,0,76,0,96,0,172,0,189,6,440,0,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,3671,357,Saudi,TRUE,FALSE,FALSE,FALSE,0
49,1,0,0,0,4,0,1,0,7,0,6,0,30,0,19,0,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2212,154,Saudi,TRUE,FALSE,FALSE,FALSE,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/18,1,هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,466,122,Saudi,TRUE,FALSE,FALSE,FALSE,0
51,6,0,3,2,63,2,8,4,67,2,45,3,106,3,125,6,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,38,222,Yemen,FALSE,TRUE,FALSE,FALSE,1
52,8,2,9,0,14,5,33,1,60,5,52,2,109,5,105,4,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,2493,489,Saudi,TRUE,FALSE,FALSE,FALSE,0
53,5,0,6,0,14,0,19,0,23,0,25,0,54,0,34,0,2/1/18,0,NA,179,24,US,FALSE,FALSE,FALSE,FALSE,0
54,5,0,4,0,5,0,6,0,12,0,0,0,22,0,0,0,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,97,2,GCC,TRUE,FALSE,FALSE,FALSE,0
55,5,1,6,0,9,1,15,1,11,1,23,2,43,11,53,6,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,867,215,Yemen,FALSE,TRUE,FALSE,FALSE,1
56,7,0,37,5,19,0,65,5,32,0,210,7,49,0,243,7,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,75,12,Singapore,FALSE,FALSE,FALSE,FALSE,0
57,118,28,137,7,369,86,372,108,422,14,334,20,484,15,372,14,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,122,37,Iraq,FALSE,FALSE,TRUE,FALSE,1
58,22,0,36,1,81,5,75,7,130,13,134,8,242,20,314,11,2/1/18,0,NA,2727,418,Lebanon,FALSE,FALSE,FALSE,FALSE,0
59,23,1,11,4,37,2,63,20,70,8,134,30,205,29,167,31,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,271,4,GCC,TRUE,FALSE,FALSE,FALSE,0
60,1,0,1,0,1,0,5,0,33,0,7,0,47,0,15,0,2/1/18,2,هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,104,42,London,FALSE,FALSE,FALSE,FALSE,0
61,12,0,5,2,19,0,20,3,55,0,29,20,168,0,NA,NA,2/1/18,5,هذا الكلام الطائفي يزرع الفتنة.,1045,730,Saudi,TRUE,FALSE,FALSE,FALSE,0
62,97,13,32,12,162,16,76,34,326,26,216,7,643,15,286,11,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,619,278,GCC,TRUE,FALSE,FALSE,FALSE,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/18,0,NA,2897,262,Saudi,TRUE,FALSE,FALSE,FALSE,0
64,8,1,2,0,31,2,67,0,105,2,108,0,134,3,211,0,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,98,17,GCC,TRUE,FALSE,FALSE,FALSE,0
65,2,0,0,0,4,0,4,0,8,0,6,0,21,3,NA,NA,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,93,29,GCC,TRUE,FALSE,FALSE,FALSE,0
66,7,0,12,0,25,1,66,2,49,1,100,2,157,5,131,2,2/1/18,3,يقول عدد كبير من الزعماء السياسيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا عرب.,148,225,Yemen,FALSE,TRUE,FALSE,FALSE,1
67,2,0,0,0,4,0,5,0,14,0,10,0,22,0,15,0,2/1/18,0,NA,308,31,Saudi,TRUE,FALSE,FALSE,FALSE,0
68,13,0,8,0,37,1,48,1,59,2,62,1,73,4,81,0,2/1/18,4,يقول عدد كبير من الزعماء الدينيين أن هذا الكلام الطائفي يزرع الفتنة. كلنا مسلمون.,32,30,Yemen,FALSE,TRUE,FALSE,FALSE,1
